date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:44	597/597	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2018%20Jun%202012%2017:18:48%20GMT	http://schreibgewandt.ch/image/15/15/0/bilder/pdf.gif	/root/tests/schreibgewandt/schreibgewandt.ch/image/15/15/0/bilder/pdf.jpg	(from http://schreibgewandt.ch/)
19:18:45	59245/59245	---M--	200	added ('OK')	image/png	etag:%22603b6f-e76d-47d755fd0aec0%22	http://schreibgewandt.ch/cms/images/background_m3_biografien.png	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/background_m3_biografien.png	(from http://schreibgewandt.ch/)
19:18:47	55836/55836	---M--	200	added ('OK')	application/pdf	etag:%2260398e-da1c-47d0b87e6ba40%22	http://schreibgewandt.ch/cms/upload/daten/schreibgewandt_tipps.pdf	/root/tests/schreibgewandt/schreibgewandt.ch/cms/upload/daten/schreibgewandt_tipps.pdf	(from http://schreibgewandt.ch/)
19:18:47	6334/6334	---MC-	200	added ('OK')	text/html	etag:7e6adf7d0e5ac2c7557bbaea133f310a	http://schreibgewandt.ch/schreibservice/feedbacks/	/root/tests/schreibgewandt/schreibgewandt.ch/schreibservice/feedbacks/index.html	(from http://schreibgewandt.ch/schreibservice/)
19:18:47	6538/6538	---MC-	200	added ('OK')	text/html	etag:882705843364a285af0dd926eafc18ae	http://schreibgewandt.ch/biografien/leseproben/	/root/tests/schreibgewandt/schreibgewandt.ch/biografien/leseproben/index.html	(from http://schreibgewandt.ch/biografien/)
19:18:48	6306/6306	---MC-	200	added ('OK')	text/html	etag:c539ca01d218af885ccedb1fb82a6391	http://schreibgewandt.ch/biografien/feedbacks/	/root/tests/schreibgewandt/schreibgewandt.ch/biografien/feedbacks/index.html	(from http://schreibgewandt.ch/biografien/)
19:18:48	21680/21680	---M--	200	added ('OK')	image/png	etag:%22603b79-54b0-47d755fd0aec0%22	http://schreibgewandt.ch/cms/images/background_m4_firmen.png	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/background_m4_firmen.png	(from http://schreibgewandt.ch/)
19:18:50	15117/15117	---M--	200	added ('OK')	image/png	etag:%22603b4f-3b0d-47d755fdff100%22	http://schreibgewandt.ch/cms/images/background_m5_kurse.png	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/background_m5_kurse.png	(from http://schreibgewandt.ch/)
19:18:51	19554/19554	---M--	200	added ('OK')	image/png	etag:%22603b57-4c62-47d755fb22a40%22	http://schreibgewandt.ch/cms/images/background_m7_kontakt.png	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/background_m7_kontakt.png	(from http://schreibgewandt.ch/)
19:18:54	37628/37628	---M--	200	added ('OK')	image/png	etag:%22603bae-92fc-47d83e8dfa000%22	http://schreibgewandt.ch/cms/images/background_m6_eva_kuhn.png	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/background_m6_eva_kuhn.png	(from http://schreibgewandt.ch/)
19:19:00	59663/59663	---M--	200	added ('OK')	application/pdf	etag:%226039a2-e90f-47d0b88053ec0%22	http://schreibgewandt.ch/cms/upload/daten/schreibservice_feedb.pdf	/root/tests/schreibgewandt/schreibgewandt.ch/cms/upload/daten/schreibservice_feedb.pdf	(from http://schreibgewandt.ch/schreibservice/)
19:19:02	87697/87697	---M--	200	added ('OK')	application/pdf	etag:%2260399c-15691-47d0b87f5fc80%22	http://schreibgewandt.ch/cms/upload/daten/schreibservice_bsp.pdf	/root/tests/schreibgewandt/schreibgewandt.ch/cms/upload/daten/schreibservice_bsp.pdf	(from http://schreibgewandt.ch/schreibservice/)
